epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,3657.69,0.39379,0.33383,0.85902,0.97088,1,0.99284,0.92858,0.38379,0.31695,0.82687,0.00167726,0.00167726,0.00167726
165,3680.96,0.35818,0.31068,0.85169,0.94703,1,0.99311,0.92712,0.374,0.3208,0.82137,0.00167528,0.00167528,0.00167528
166,3704.18,0.40478,0.331,0.87062,0.94615,1,0.99145,0.9289,0.3619,0.33528,0.81638,0.0016733,0.0016733,0.0016733
167,3727.6,0.37767,0.3094,0.86411,0.94326,1,0.99079,0.938,0.36215,0.32248,0.81308,0.00167132,0.00167132,0.00167132
168,3750.92,0.3782,0.31915,0.86333,0.94482,1,0.98837,0.9326,0.37242,0.34548,0.81926,0.00166934,0.00166934,0.00166934
169,3773.9,0.38363,0.34414,0.85605,0.94021,1,0.98665,0.91685,0.36281,0.35779,0.8154,0.00166736,0.00166736,0.00166736
170,3796.74,0.37238,0.32197,0.85653,0.94322,1,0.98756,0.92117,0.36775,0.33635,0.81294,0.00166538,0.00166538,0.00166538
171,3821.42,0.37951,0.31471,0.84711,0.94256,1,0.98523,0.92357,0.36103,0.33466,0.81216,0.0016634,0.0016634,0.0016634
172,3846.12,0.3873,0.32987,0.85678,0.94134,1,0.98751,0.93447,0.35904,0.33386,0.81152,0.00166142,0.00166142,0.00166142
173,3869.06,0.37542,0.31791,0.85873,0.94315,1,0.99228,0.93367,0.37005,0.32702,0.81273,0.00165944,0.00165944,0.00165944
174,3892.8,0.34853,0.3214,0.85669,0.97286,0.99576,0.99068,0.92052,0.3755,0.32451,0.81348,0.00165746,0.00165746,0.00165746
175,3916.07,0.3691,0.32453,0.85302,0.97217,0.97024,0.99006,0.93324,0.37997,0.32095,0.8227,0.00165548,0.00165548,0.00165548
176,3940.81,0.37557,0.30824,0.84462,0.94727,0.99802,0.98837,0.91882,0.39236,0.32545,0.83172,0.0016535,0.0016535,0.0016535
177,3963.84,0.34623,0.28614,0.84656,0.94691,1,0.98755,0.92501,0.4123,0.32692,0.83628,0.00165152,0.00165152,0.00165152
178,3986.94,0.37677,0.32163,0.88474,0.94575,1,0.98751,0.92689,0.38634,0.31842,0.82662,0.00164954,0.00164954,0.00164954
179,4010.27,0.38133,0.32528,0.86969,0.94518,1,0.98923,0.93242,0.35605,0.30706,0.82073,0.00164756,0.00164756,0.00164756
180,4033.61,0.35515,0.30129,0.85535,0.95302,1,0.99203,0.94041,0.35789,0.31414,0.82312,0.00164558,0.00164558,0.00164558
181,4056.57,0.3759,0.30649,0.87153,0.94479,1,0.99145,0.93248,0.37082,0.3182,0.8147,0.0016436,0.0016436,0.0016436
